id,name,inn,cluster,status,year,trl,irl,mrl,crl,patent_count,has_ai,tech_count,industry_count,product_count,max_revenue,max_profit,score_tech_maturity,score_innovation,score_market_potential,score_team_readiness,score_financial_health,score_overall
d642ee187a9c5c58a97d9340e64edded,ФИН ПРОМОУТ СИСТЕМС,6671285919,ИТ,active,2023,8,4,8,4,2,1,3,2,1,201941000.0,152427000.0,7.11,7.37,7.8,4.44,7.2,6.92
3a6197f9df49ef98d72ec7297d7e461d,ПХМ,7730327121,Биомедицина,active,2024,4,1,1,4,0,0,1,1,1,0.0,0.0,2.78,2.73,2.8,4.44,2.0,2.87
9dc5745e6dc4546f53144442db533593,ДАТА ФАКТОРИ,3804117702,Энерготех,active,2022,0,2,0,4,0,0,0,0,0,1499000.0,1499000.0,3.06,1.0,4.5,4.44,4.2,3.37
766c59d1f8e86479f11fa24b02adc6b0,АНСААТ,1658250499,Энерготех,active,2024,2,1,2,4,4,0,2,2,1,403000.0,0.0,2.28,3.47,4.8,4.44,2.7,3.43
88afc574e4612dbc9fcfa9f49a9b104d,НЕКСТПРО,7203537749,Биомедицина,active,2022,7,2,2,4,0,0,3,3,1,2876000.0,1922000.0,4.5,4.53,6.3,4.44,4.2,4.8
8453cda7d8b48c56e0f5eb56287653e8,ГЕНЕЗИС НИОКР,6685220809,Энерготех,active,2024,2,1,2,4,0,0,2,3,2,0.0,0.0,2.28,2.47,4.1,4.44,2.0,2.95
332b31989f406cbb8aeb69cfaa89535a,ГАНС,9722058334,Промтех,active,2023,7,6,7,6,2,0,3,2,2,33708000.0,2358000.0,7.33,5.53,8.1,6.67,5.2,6.6
b400bce7bb7f8a5e6431471ab1433bc3,УМТ,3702186104,Биомедицина,active,2017,2,5,2,4,11,0,2,2,1,3915000.0,2853000.0,3.39,4.97,7.8,4.44,7.0,5.47
e67056d9b384cb7b597563a08daca0f5,ЦЕНТР МЕТ,7722156602,Промтех,active,1998,9,8,8,6,1,0,2,3,3,39510000.0,4396000.0,8.94,5.8,8.9,6.67,5.4,7.26
be84f743691f653fc6dc2de40958e471,ДАБЛ АП,6166085401,ИТ,active,2012,6,2,1,4,4,1,1,1,3,169263000.0,19044000.0,3.83,5.9,5.9,4.44,7.5,5.49
82bce6a44b29c2cf35d3eb27bf9cc04b,ФИНТЕРРА,9728021098,ИТ,active,2020,0,6,0,5,0,0,0,0,0,244987000.0,5075000.0,6.25,1.0,6.5,5.56,7.3,5.36
dec6e2ed2d568b20a485156f5661697d,АГРОБИТ,7726460297,Биомедицина,active,2019,9,7,8,4,1,0,5,3,4,18600000.0,15638000.0,8.33,7.0,9.2,4.44,5.9,7.17
dbf0a02a978a28985efa1ad2c1cb9498,АЛИНГИ,7325139255,Промтех,active,2015,7,6,7,7,1,0,3,3,2,22295000.0,11101000.0,7.5,5.53,8.6,7.78,6.5,7.17
7682c9e1cf6706baa6b08f477d141040,СОВРЕМЕННЫЕ ТЕХНОЛОГИИ,4205334139,Биомедицина,active,2016,0,1,0,3,1,0,1,0,0,4307000.0,322000.0,1.94,2.4,3.5,3.33,4.1,2.99
b52413ab15d89b1a68dc67c474945eb8,ТЕХНОЛОГИИ,1683026236,ИТ,active,2025,0,7,0,4,0,0,0,0,0,0.0,0.0,6.53,1.0,5.0,4.44,2.0,3.9
856ff504ae5613557dc5c34aa4cca5ab,ЗАВОД АНГСТРЕМ,7604323568,Энерготех,active,2017,8,8,8,6,4,0,4,2,2,413005000.0,10968000.0,8.56,6.27,8.1,6.67,6.9,7.39
f435dd6808571b8caf52b4c9f8b22fcb,АПАРТЛЕНД,9731062175,ИТ,active,2020,5,1,3,4,3,1,1,1,1,439000.0,22000.0,3.72,5.57,4.3,4.44,3.6,4.29
c957cf151ca338967a733e48a2a7a796,АТЛАСМАШ,5050095889,Промтех,active,2012,9,1,9,3,1,0,2,3,1,468966000.0,83618000.0,6.78,5.8,5.3,3.33,8.0,6.01
e3b05b1ff87d3150b2cc58ebb8e4d6c9,АТРЕЙД,7814774253,ИТ,active,2020,9,7,9,4,0,1,3,3,1,47374000.0,5863000.0,8.61,6.7,8.3,4.44,6.5,7.12
02ab2cf605a79a7e89a0fe15e0e14cc7,БЕСПИЛОТНЫЙ ПОГРУЗЧИК,9704225582,Промтех,active,2023,6,2,6,4,5,0,3,3,1,0.0,0.0,5.22,6.2,4.8,4.44,2.0,4.57
